FinalID,GB_chloro_count,GB_mito_count,GB_mito_fl_count,CommonName,ParentOrganismFinalID,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,GenusComplex,Genus,SpeciesComplex,Species,Subspecies,Variety,TaxonomicLevelCode
Acaulon,5,0,0,NA,Pottiaceae,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Pottiales,NA,NA,Pottiaceae,NA,NA,NA,Acaulon,NA,Acaulon,NA,NA,50
Acaulon rufescens,0,0,0,NA,Acaulon,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Pottiales,NA,NA,Pottiaceae,NA,NA,NA,Acaulon,NA,Acaulon rufescens,NA,NA,60
Acaulon triquetrum,4,0,0,NA,Acaulon,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Pottiales,NA,NA,Pottiaceae,NA,NA,NA,Acaulon,NA,Acaulon triquetrum,NA,NA,60
Aloina,8,1,1,NA,Pottiaceae,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Pottiales,NA,NA,Pottiaceae,NA,NA,NA,Aloina,NA,Aloina,NA,NA,50
Aloina ambigua,0,0,0,NA,Aloina,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Pottiales,NA,NA,Pottiaceae,NA,NA,NA,Aloina,NA,Aloina ambigua,NA,NA,60
Aloina bifrons,0,0,0,NA,Aloina,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Pottiales,NA,NA,Pottiaceae,NA,NA,NA,Aloina,NA,Aloina bifrons,NA,NA,60
Aloina rigida,6,1,1,NA,Aloina,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Pottiales,NA,NA,Pottiaceae,NA,NA,NA,Aloina,NA,Aloina rigida,NA,NA,60
Amblystegiaceae,2259,43,45,NA,Hypnales,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Hypnales,NA,NA,Amblystegiaceae,NA,NA,NA,NA,NA,Amblystegiaceae,NA,NA,40
Amblystegium,36,1,1,NA,Amblystegiaceae,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Hypnales,NA,NA,Amblystegiaceae,NA,NA,NA,NA,NA,Amblystegium,NA,NA,50
Amblystegium juratzkanum,0,0,0,NA,Amblystegium,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Hypnales,NA,NA,Amblystegiaceae,NA,NA,NA,Amblystegium,NA,Amblystegium juratzkanum,NA,NA,60
Amblystegium radicale,0,0,0,NA,Amblystegium,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Hypnales,NA,NA,Amblystegiaceae,NA,NA,NA,Amblystegium,NA,Amblystegium radicale,NA,NA,60
Amblystegium serpens,24,1,1,NA,Amblystegium,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Hypnales,NA,NA,Amblystegiaceae,NA,NA,NA,Amblystegium,NA,Amblystegium serpens,NA,NA,60
Amblystegium varium,16,1,1,NA,Amblystegium,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Hypnales,NA,NA,Amblystegiaceae,NA,NA,NA,Amblystegium,NA,Amblystegium varium,NA,NA,60
Anacolia,31,1,1,NA,Bartramiaceae,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Bartramiales,NA,NA,Bartramiaceae,NA,NA,NA,Anacolia,NA,Anacolia,NA,NA,50
Anacolia baueri,0,0,0,NA,Anacolia,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Bartramiales,NA,NA,Bartramiaceae,NA,NA,NA,Anacolia,NA,Anacolia baueri,NA,NA,60
Anacolia laevisphaera,23,0,0,NA,Anacolia,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Bartramiales,NA,NA,Bartramiaceae,NA,NA,NA,Anacolia,NA,Anacolia laevisphaera,NA,NA,60
Anacolia menziesii,5,0,0,NA,Anacolia,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Bartramiales,NA,NA,Bartramiaceae,NA,NA,NA,Anacolia,NA,Anacolia menziesii,NA,NA,60
Anoectangium,16,1,1,NA,Pottiaceae,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Pottiales,NA,NA,Pottiaceae,NA,NA,NA,Anoectangium,NA,Anoectangium,NA,NA,50
Anoectangium handelii,0,0,0,NA,Anoectangium,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Pottiales,NA,NA,Pottiaceae,NA,NA,NA,Anoectangium,NA,Anoectangium handelii,NA,NA,60
Anomobryum,35,4,4,NA,Bryaceae,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Bryales,NA,NA,Bryaceae,NA,NA,NA,Anomobryum,NA,Anomobryum,NA,NA,50
